index,type,name,resident,streamed,parentStack
15,xmodelmesh,c_zom_der_head_3_lod6b8e32972,208,4928,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
16,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod6cfec6cba,1696,0,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
17,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod6fa3102be,224,6864,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
18,xmodelmesh,c_zom_der_zombie_body1_g_rlegoff_lod659e69f26,320,6112,|c_zom_der_zombie_body1_g_rlegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
19,xmodelmesh,c_zom_der_zombie_body1_g_llegoff_lod67f9aa231,320,6960,|c_zom_der_zombie_body1_g_llegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
20,xmodelmesh,c_zom_der_zombie_body1_g_blegsoff_lod6d37207be,320,6144,|c_zom_der_zombie_body1_g_blegsoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
21,xmodelmesh,c_zom_der_zombie_body2_lod6476855ed,608,25680,|c_zom_der_zombie_body2|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
22,xmodelmesh,c_zom_der_zombie_body2_g_upclean_lod6e453bc68,608,18240,|c_zom_der_zombie_body2_g_upclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
23,xmodelmesh,c_zom_der_zombie_body2_g_rarmoff_lod6decb6687,704,15136,|c_zom_der_zombie_body2_g_rarmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
24,xmodelmesh,c_zom_der_zombie_body2_g_larmoff_lod611a802c9,704,16736,|c_zom_der_zombie_body2_g_larmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
25,xmodelmesh,c_zom_der_zombie_body2_g_behead_lod633e7b02c,1552,0,|c_zom_der_zombie_body2_g_behead|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
26,xmodelmesh,c_zom_der_zombie_body2_g_lowclean_lod69154bfa3,320,7664,|c_zom_der_zombie_body2_g_lowclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
27,xmodelmesh,c_zom_der_zombie_body2_g_rlegoff_lod6760fa259,416,7808,|c_zom_der_zombie_body2_g_rlegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
28,xmodelmesh,c_zom_der_zombie_body2_g_llegoff_lod6a21441c3,416,7440,|c_zom_der_zombie_body2_g_llegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
29,xmodelmesh,c_zom_der_zombie_body2_g_blegsoff_lod6fec7049e,416,7552,|c_zom_der_zombie_body2_g_blegsoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
30,xmodelmesh,p7_zm_der_light_shade_lod06f265e04,2928,0,|p7_zm_der_light_shade|xmodel|maps/zm/zm_bunker_ascension.d3dbsp|gfx_map|zone_source/zm_bunker_ascension.zone|csv
31,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod075527b40,2912,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
32,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0c5acd6f,2656,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
33,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0567f2c88,3440,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
34,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod041c78fa2,2672,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
35,xmodelmesh,c_zom_der_helmet_1_lod55a672d53,3392,0,|c_zom_der_zombie_helmet1|xmodel|c_zom_der_zombie2|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
36,xmodelmesh,c_zom_der_head_1_lod5943b21d9,208,8816,|c_zom_der_zombie_head1|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
37,xmodelmesh,c_zom_der_head_2_lod51fd00a8a,208,8016,|c_zom_der_zombie_head2|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
38,xmodelmesh,c_zom_der_head_3_lod53d40255c,208,10416,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
39,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod586d08846,2160,0,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
40,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod517213356,224,10128,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
41,xmodelmesh,c_zom_der_zombie_body1_g_rlegoff_lod5cb3b0646,320,7584,|c_zom_der_zombie_body1_g_rlegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
42,xmodelmesh,c_zom_der_zombie_body1_g_llegoff_lod514b66699,320,8896,|c_zom_der_zombie_body1_g_llegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
43,xmodelmesh,c_zom_der_zombie_body1_g_blegsoff_lod52a8483e9,320,6560,|c_zom_der_zombie_body1_g_blegsoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
44,xmodelmesh,c_zom_der_zombie_body2_lod5a94cdd4d,704,41360,|c_zom_der_zombie_body2|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
45,xmodelmesh,c_zom_der_zombie_body2_g_upclean_lod55a397dd2,704,28240,|c_zom_der_zombie_body2_g_upclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
46,xmodelmesh,c_zom_der_zombie_body2_g_rarmoff_lod51d65bb91,800,23376,|c_zom_der_zombie_body2_g_rarmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
47,xmodelmesh,c_zom_der_zombie_body2_g_larmoff_lod54bc08c33,800,25872,|c_zom_der_zombie_body2_g_larmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
48,xmodelmesh,c_zom_der_zombie_body2_g_behead_lod592058fd9,1920,0,|c_zom_der_zombie_body2_g_behead|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
49,xmodelmesh,c_zom_der_zombie_body2_g_lowclean_lod5bcac4582,320,13488,|c_zom_der_zombie_body2_g_lowclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
50,xmodelmesh,c_zom_der_zombie_body2_g_rlegoff_lod52ab33a06,416,11600,|c_zom_der_zombie_body2_g_rlegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
51,xmodelmesh,c_zom_der_zombie_body2_g_llegoff_lod51fe99774,416,11584,|c_zom_der_zombie_body2_g_llegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
52,xmodelmesh,c_zom_der_zombie_body2_g_blegsoff_lod5c35191e1,416,9824,|c_zom_der_zombie_body2_g_blegsoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
53,xmodelmesh,p7_zm_der_light_shade_lod0f21d8c5e,464,4944,|p7_zm_der_light_shade|xmodel|maps/zm/zm_bunker_ascension.d3dbsp|gfx_map|zone_source/zm_bunker_ascension.zone|csv
54,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08155b704,368,5328,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
55,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod053f29eef,4272,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
56,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0539c617e,368,5088,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
57,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod056fb478,4240,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
58,xmodelmesh,c_zom_der_helmet_1_lod440e19ebe,224,4352,|c_zom_der_zombie_helmet1|xmodel|c_zom_der_zombie2|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
59,xmodelmesh,c_zom_der_head_1_lod4c1179c01,208,16304,|c_zom_der_zombie_head1|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
60,xmodelmesh,c_zom_der_head_2_lod410b5a201,208,14720,|c_zom_der_zombie_head2|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
61,xmodelmesh,c_zom_der_head_3_lod4e605e8d0,208,17952,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
62,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod4e68ab97e,2800,0,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
63,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod41da35f97,320,23600,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
64,xmodelmesh,c_zom_der_zombie_body1_g_rlegoff_lod4b95a1e19,416,16112,|c_zom_der_zombie_body1_g_rlegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
65,xmodelmesh,c_zom_der_zombie_body1_g_llegoff_lod472b7e0e,416,20544,|c_zom_der_zombie_body1_g_llegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
66,xmodelmesh,c_zom_der_zombie_body1_g_blegsoff_lod4e6f7b2a0,416,13024,|c_zom_der_zombie_body1_g_blegsoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
67,xmodelmesh,c_zom_der_zombie_body2_lod4a9a1848d,608,71280,|c_zom_der_zombie_body2|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
68,xmodelmesh,c_zom_der_zombie_body2_g_upclean_lod480e47024,608,51072,|c_zom_der_zombie_body2_g_upclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
69,xmodelmesh,c_zom_der_zombie_body2_g_rarmoff_lod47cf4ad5c,704,42736,|c_zom_der_zombie_body2_g_rarmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
70,xmodelmesh,c_zom_der_zombie_body2_g_larmoff_lod4d021f8b9,704,47472,|c_zom_der_zombie_body2_g_larmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
71,xmodelmesh,c_zom_der_zombie_body2_g_behead_lod4adfd81c9,2288,0,|c_zom_der_zombie_body2_g_behead|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
72,xmodelmesh,c_zom_der_zombie_body2_g_lowclean_lod42f32ddfb,320,20240,|c_zom_der_zombie_body2_g_lowclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
73,xmodelmesh,c_zom_der_zombie_body2_g_rlegoff_lod4f6abfafb,416,15696,|c_zom_der_zombie_body2_g_rlegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
74,xmodelmesh,c_zom_der_zombie_body2_g_llegoff_lod4501501a8,416,16864,|c_zom_der_zombie_body2_g_llegoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
75,xmodelmesh,c_zom_der_zombie_body2_g_blegsoff_lod4b5d88c29,416,12384,|c_zom_der_zombie_body2_g_blegsoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
76,xmodelmesh,p7_zm_der_light_shade_lod077d7b7ac,464,8656,|p7_zm_der_light_shade|xmodel|maps/zm/zm_bunker_ascension.d3dbsp|gfx_map|zone_source/zm_bunker_ascension.zone|csv
77,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod05223ef7a,368,9184,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
78,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0d0f95c7e,368,6080,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
79,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod06611811f,368,9088,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
80,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod044d1d262,368,6608,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
81,xmodelmesh,c_zom_der_helmet_1_lod3cd13d004,224,10128,|c_zom_der_zombie_helmet1|xmodel|c_zom_der_zombie2|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
82,xmodelmesh,c_zom_der_head_1_lod3e650584c,208,32336,|c_zom_der_zombie_head1|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
83,xmodelmesh,c_zom_der_head_2_lod367983df6,208,25616,|c_zom_der_zombie_head2|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
84,xmodelmesh,c_zom_der_head_3_lod3a9afee46,208,34016,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
85,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod373e83067,320,5360,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
86,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod330d513fe,224,47184,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_usermap_zombie|aitype|maps/zm/zm_bunker_ascension.d3dbsp|col_map|zone_source/zm_bunker_ascension.zone|csv
